,Standard Stats,Standard Stats,Standard Stats
,Statistic,Per 90,Percentile
0,Goals,0.75,99
1,Assists,0.42,96
2,Non-Penalty Goals,0.59,98
3,Penalty Kicks Made,0.16,97
4,Penalty Kicks Attempted,0.20,97
5,Yellow Cards,0.03,83
6,Red Cards,0.00,53
8,xG,0.71,99
9,npxG,0.55,98
10,xA,0.34,99
11,npxG+xA,0.89,99
12,Shooting,Shooting,Shooting
13,Statistic,Per 90,Percentile
14,Goals,0.75,99
15,Shots Total,4.37,99
16,Shots on target,1.60,99
17,Shots on target %,36.6%,58
18,Goals/Shot,0.13,67
19,Goals/Shot on target,0.37,74
20,Average Shot Distance,15.50,74
21,Shots from free kicks,0.03,56
22,Penalty Kicks Made,0.16,97
23,Penalty Kicks Attempted,0.20,97
25,xG,0.71,99
26,npxG,0.55,98
27,npxG/Sh,0.13,74
28,Goals - xG,+0.04,67
29,Non-Penalty Goals - npxG,+0.03,67
30,Passing,Passing,Passing
31,Statistic,Per 90,Percentile
32,Passes Completed,28.32,68
33,Passes Attempted,36.43,64
34,Pass Completion %,77.7%,69
35,Total Passing Distance,405.33,51
36,Progressive Passing Distance,117.96,61
38,Passes Completed (Short),17.92,81
39,Passes Attempted (Short),20.63,82
40,Pass Completion % (Short),86.9%,71
42,Passes Completed (Medium),8.34,44
43,Passes Attempted (Medium),10.82,49
44,Pass Completion % (Medium),77.1%,46
46,Passes Completed (Long),1.27,21
47,Passes Attempted (Long),2.41,20
48,Pass Completion % (Long),52.7%,48
49,Assists,0.42,96
50,xA,0.34,99
51,Key Passes,1.99,88
52,Passes into Final Third,1.14,31
53,Passes into Penalty Area,1.99,88
54,Crosses into Penalty Area,0.26,49
55,Progressive Passes,4.01,81
56,Pass Types,Pass Types,Pass Types
57,Statistic,Per 90,Percentile
58,Passes Attempted,36.43,64
60,Live-ball passes,36.10,71
61,Dead-ball passes,0.33,9
62,Passes from Free Kicks,0.00,7
63,Through Balls,0.52,99
64,Passes Under Pressure,6.48,42
65,Switches,0.46,28
66,Crosses,1.66,43
67,Corner Kicks,0.03,23
69,Inswinging Corner Kicks,0.03,40
70,Outswinging Corner Kicks,0.00,23
71,Straight Corner Kicks,0.00,32
73,Ground passes,28.09,73
74,Low Passes,4.53,54
75,High Passes,3.81,28
77,Passes Attempted (Left),29.59,89
78,Passes Attempted (Right),5.25,20
79,Passes Attempted (Head),0.78,24
80,Throw-Ins taken,0.20,32
81,Passes Attempted (Other),0.36,77
83,Passes Completed,28.32,68
84,Passes Offside,0.20,24
85,Passes Out of Bounds,0.52,48
86,Passes Intercepted,1.92,21
87,Passes Blocked,1.63,35
88,Goal and Shot Creation,Goal and Shot Creation,Goal and Shot Creation
89,Statistic,Per 90,Percentile
90,Shot-Creating Actions,4.33,95
92,SCA (PassLive),3.03,92
93,SCA (PassDead),0.00,19
94,SCA (Drib),0.68,96
95,SCA (Sh),0.49,99
96,SCA (Fld),0.10,23
97,SCA (Def),0.03,38
99,Goal-Creating Actions,0.81,97
101,GCA (PassLive),0.55,97
102,GCA (PassDead),0.00,36
103,GCA (Drib),0.16,98
104,GCA (Sh),0.07,79
105,GCA (Fld),0.03,64
106,GCA (Def),0.00,44
107,Defense,Defense,Defense
108,Statistic,Per 90,Percentile
109,Tackles,0.55,3
110,Tackles Won,0.23,2
111,Tackles (Def 3rd),0.16,8
112,Tackles (Mid 3rd),0.23,10
113,Tackles (Att 3rd),0.16,16
115,Dribblers Tackled,0.13,7
116,Dribbles Contested,0.68,8
117,% of dribblers tackled,19.0%,14
118,Dribbled Past,0.55,85
120,Pressures,14.60,23
121,Successful Pressures,4.14,27
122,Successful Pressure %,28.3%,66
123,Pressures (Def 3rd),2.18,10
124,Pressures (Mid 3rd),4.14,2
125,Pressures (Att 3rd),8.28,90
127,Blocks,0.42,2
128,Shots Blocked,0.03,16
129,Shots Saved,0.00,47
130,Passes Blocked,0.39,2
132,Interceptions,0.49,11
133,Tkl+Int,1.04,3
134,Clearances,0.13,9
135,Errors,0.00,56
136,Possession,Possession,Possession
137,Statistic,Per 90,Percentile
138,Touches,51.58,74
139,Touches (Def Pen),0.20,4
140,Touches (Def 3rd),2.28,2
141,Touches (Mid 3rd),16.16,21
142,Touches (Att 3rd),36.17,93
143,Touches (Att Pen),10.85,99
144,Touches (Live-Ball),51.09,77
146,Dribbles Completed,1.86,76
147,Dribbles Attempted,4.43,86
148,Successful Dribble %,41.9%,18
149,Players Dribbled Past,2.28,84
150,Nutmegs,0.07,30
152,Carries,40.11,79
153,Total Carrying Distance,175.11,38
154,Progressive Carrying Distance,107.14,51
155,Progressive Carries,6.94,76
156,Carries into Final Third,1.27,28
157,Carries into Penalty Area,2.31,95
158,Miscontrols,2.57,26
159,Dispossessed,2.74,17
161,Pass Targets,64.39,98
162,Passes Received,42.69,83
163,Passes Received %,66.3%,22
164,Progressive Passes Rec,11.96,99
165,Miscellaneous Stats,Miscellaneous Stats,Miscellaneous Stats
166,Statistic,Per 90,Percentile
167,Yellow Cards,0.03,83
168,Red Cards,0.00,53
169,Second Yellow Card,0.00,52
170,Fouls Committed,0.42,96
171,Fouls Drawn,0.98,11
172,Offsides,0.39,30
173,Crosses,1.66,43
175,Interceptions,0.49,11
176,Tackles Won,0.23,2
177,Penalty Kicks Won,0.07,92
178,Penalty Kicks Conceded,0.00,54
179,Own Goals,0.00,51
180,Ball Recoveries,5.74,35
182,Aerials won,0.42,22
183,Aerials lost,1.50,58
184,% of Aerials Won,22.0%,17
