Statistic,Per 90,Percentile
Non-Penalty Goals,0.60,97.0
npxG,0.56,99.0
Shots Total,4.18,99.0
Assists,0.36,91.0
xA,0.30,93.0
npxG+xA,0.85,99.0
Shot-Creating Actions,4.23,81.0
Passes Attempted,37.28,50.0
Pass Completion %,78.6%,66.0
Progressive Passes,3.68,61.0
Progressive Carries,7.12,71.0
Dribbles Completed,1.96,71.0
Touches (Att Pen),10.54,99.0
Progressive Passes Rec,11.90,99.0
Pressures,15.18,37.0
Tackles,0.55,3.0
Interceptions,0.43,3.0
Blocks,0.50,3.0
Clearances,0.10,7.0
Aerials won,0.43,24.0
