,Statistic,Per 90,Percentile
0,Goals,0.69,98
1,Assists,0.21,76
2,Non-Penalty Goals,0.69,99
3,Penalty Kicks Made,0.00,40
4,Penalty Kicks Attempted,0.00,38
5,Yellow Cards,0.06,71
6,Red Cards,0.00,53
8,xG,0.49,92
9,npxG,0.49,93
10,xA,0.24,90
11,npxG+xA,0.73,97
12,Shooting,Shooting,Shooting
13,Statistic,Per 90,Percentile
14,Goals,0.69,98
15,Shots Total,2.57,79
16,Shots on target,1.41,97
17,Shots on target %,54.7%,97
18,Goals/Shot,0.27,99
19,Goals/Shot on target,0.49,88
20,Average Shot Distance,15.40,77
21,Shots from free kicks,0.06,63
22,Penalty Kicks Made,0.00,40
23,Penalty Kicks Attempted,0.00,38
25,xG,0.49,92
26,npxG,0.49,93
27,npxG/Sh,0.19,98
28,Goals - xG,+0.20,98
29,Non-Penalty Goals - npxG,+0.20,98
30,Passing,Passing,Passing
31,Statistic,Per 90,Percentile
32,Passes Completed,27.93,64
33,Passes Attempted,36.62,65
34,Pass Completion %,76.3%,59
35,Total Passing Distance,434.49,60
36,Progressive Passing Distance,105.75,53
38,Passes Completed (Short),15.87,66
39,Passes Attempted (Short),17.60,61
40,Pass Completion % (Short),90.1%,91
42,Passes Completed (Medium),8.92,58
43,Passes Attempted (Medium),10.78,48
44,Pass Completion % (Medium),82.8%,78
46,Passes Completed (Long),2.31,55
47,Passes Attempted (Long),6.14,76
48,Pass Completion % (Long),37.6%,8
49,Assists,0.21,76
50,xA,0.24,90
51,Key Passes,2.13,92
52,Passes into Final Third,1.05,28
53,Passes into Penalty Area,1.35,59
54,Crosses into Penalty Area,0.12,20
55,Progressive Passes,2.28,42
56,Pass Types,Pass Types,Pass Types
57,Statistic,Per 90,Percentile
58,Passes Attempted,36.62,65
60,Live-ball passes,30.27,41
61,Dead-ball passes,6.35,98
62,Passes from Free Kicks,1.23,90
63,Through Balls,0.09,51
64,Passes Under Pressure,5.48,20
65,Switches,1.11,59
66,Crosses,1.95,57
67,Corner Kicks,4.70,99
69,Inswinging Corner Kicks,1.80,96
70,Outswinging Corner Kicks,1.71,99
71,Straight Corner Kicks,0.12,90
73,Ground passes,26.11,65
74,Low Passes,3.68,27
75,High Passes,6.83,69
77,Passes Attempted (Left),3.98,32
78,Passes Attempted (Right),31.02,80
79,Passes Attempted (Head),0.99,46
80,Throw-Ins taken,0.18,27
81,Passes Attempted (Other),0.15,31
83,Passes Completed,27.93,64
84,Passes Offside,0.12,51
85,Passes Out of Bounds,0.39,76
86,Passes Intercepted,1.23,69
87,Passes Blocked,1.23,65
88,Goal and Shot Creation,Goal and Shot Creation,Goal and Shot Creation
89,Statistic,Per 90,Percentile
90,Shot-Creating Actions,3.86,88
92,SCA (PassLive),2.25,60
93,SCA (PassDead),1.05,98
94,SCA (Drib),0.12,30
95,SCA (Sh),0.24,71
96,SCA (Fld),0.18,47
97,SCA (Def),0.03,32
99,Goal-Creating Actions,0.45,74
101,GCA (PassLive),0.24,64
102,GCA (PassDead),0.12,94
103,GCA (Drib),0.00,33
104,GCA (Sh),0.00,27
105,GCA (Fld),0.09,89
106,GCA (Def),0.00,44
107,Defense,Defense,Defense
108,Statistic,Per 90,Percentile
109,Tackles,0.57,4
110,Tackles Won,0.36,6
111,Tackles (Def 3rd),0.21,13
112,Tackles (Mid 3rd),0.27,11
113,Tackles (Att 3rd),0.09,7
115,Dribblers Tackled,0.15,10
116,Dribbles Contested,0.78,13
117,% of dribblers tackled,19.2%,15
118,Dribbled Past,0.63,80
120,Pressures,11.47,4
121,Successful Pressures,2.87,5
122,Successful Pressure %,25.1%,29
123,Pressures (Def 3rd),1.95,7
124,Pressures (Mid 3rd),5.69,18
125,Pressures (Att 3rd),3.83,11
127,Blocks,0.96,31
128,Shots Blocked,0.24,85
129,Shots Saved,0.00,47
130,Passes Blocked,0.72,18
132,Interceptions,0.87,43
133,Tkl+Int,1.44,8
134,Clearances,0.33,29
135,Errors,0.00,56
136,Possession,Possession,Possession
137,Statistic,Per 90,Percentile
138,Touches,47.25,51
139,Touches (Def Pen),0.42,11
140,Touches (Def 3rd),4.82,22
141,Touches (Mid 3rd),18.65,43
142,Touches (Att 3rd),27.19,78
143,Touches (Att Pen),5.00,69
144,Touches (Live-Ball),40.96,28
146,Dribbles Completed,1.53,56
147,Dribbles Attempted,2.57,42
148,Successful Dribble %,59.3%,80
149,Players Dribbled Past,1.71,60
150,Nutmegs,0.09,36
152,Carries,32.40,40
153,Total Carrying Distance,198.62,58
154,Progressive Carrying Distance,110.24,58
155,Progressive Carries,5.54,47
156,Carries into Final Third,1.98,69
157,Carries into Penalty Area,1.59,80
158,Miscontrols,1.77,63
159,Dispossessed,1.98,51
161,Pass Targets,46.92,55
162,Passes Received,32.72,45
163,Passes Received %,69.8%,29
164,Progressive Passes Rec,7.66,79
165,Miscellaneous Stats,Miscellaneous Stats,Miscellaneous Stats
166,Statistic,Per 90,Percentile
167,Yellow Cards,0.06,71
168,Red Cards,0.00,53
169,Second Yellow Card,0.00,52
170,Fouls Committed,0.51,94
171,Fouls Drawn,1.38,35
172,Offsides,0.48,20
173,Crosses,1.95,57
175,Interceptions,0.87,43
176,Tackles Won,0.36,6
177,Penalty Kicks Won,0.06,88
178,Penalty Kicks Conceded,0.00,54
179,Own Goals,0.00,51
180,Ball Recoveries,5.03,14
182,Aerials won,0.45,26
183,Aerials lost,1.44,61
184,% of Aerials Won,23.8%,26
