Statistic,Per 90,Percentile
Non-Penalty Goals,0.69,99.0
npxG,0.49,98.0
Shots Total,2.57,75.0
Assists,0.21,55.0
xA,0.24,82.0
npxG+xA,0.73,99.0
Shot-Creating Actions,3.86,73.0
Passes Attempted,36.62,48.0
Pass Completion %,76.3%,55.0
Progressive Passes,2.28,24.0
Progressive Carries,5.54,37.0
Dribbles Completed,1.53,48.0
Touches (Att Pen),5.00,70.0
Progressive Passes Rec,7.66,81.0
Pressures,11.47,11.0
Tackles,0.57,3.0
Interceptions,0.87,43.0
Blocks,0.96,28.0
Clearances,0.33,40.0
Aerials won,0.45,28.0
